School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Ridge Hill School,Public,120 Carew Road,Hamden,06517,New Haven,100.0,100.0,97.7,100.0,97.7,97.7,97.7,0.0,0.0,0.0
Saint Rita School,Non-public,1601 Whitney Ave,Hamden,06517,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Shepherd Glen Elementry,Public,1 Skiff St. Ext.,Hamden,06514,New Haven,100.0,98.4,98.4,100.0,95.2,98.4,95.2,0.0,0.0,0.0
Spring Glen Elementary School,Public,1908 Whitney Ave,Hamden,06517,New Haven,98.2,98.2,100.0,98.2,96.4,98.2,96.4,0.0,0.0,0.0
West Woods,Public,350 West Todd St,Hamden,06518,New Haven,100.0,97.6,100.0,100.0,97.6,100.0,97.6,0.0,0.0,0.0
Hampton Elementary School,Public,380 Main St,Hampton,06247,Windham,,,,,,,,,,
Achievement First,Public,305 Greenfield Street,Hartford,06002,Hartford,89.8,89.8,88.1,89.8,88.1,88.1,81.4,0.0,0.0,0.0
Adventist  Northeastern Adventist Academy Hartford,Non-public,474 Woodland Street,Hartford,06112,Hartford,,,,,,,,,,
Betances Learning Lab,Public,42 Charter Oak Avenue,Hartford,06106,Hartford,100.0,94.9,98.3,94.9,100.0,100.0,94.9,0.0,0.0,0.0
Breakthrough Magnet North Elementary School,Public,25 Ridgefield Street,Hartford,06112,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
BREAKTHROUGH MAGNET SCHOOL (SOUTH),Public,290 BROOKFIELD STREET,Hartford,06106,Hartford,,,,,,,,,,
Burns Latino Studies Academy,Public,195 Putnam Street,Hartford,06106,Hartford,97.2,94.4,100.0,97.2,91.7,86.1,83.3,0.0,0.0,0.0
Capital Prep Magnet School,Public,1304 Main Street,Hartford,06103,Hartford,92.3,89.7,92.3,97.4,92.3,94.9,89.7,0.0,0.0,0.0
Dr. Micheal D. Fox Elementary School,Public,470 Maple Ave,Hartford,06114,Hartford,89.7,88.5,97.4,100.0,94.9,93.6,82.1,0.0,0.0,0.0
Dwight Bellizzi Dual Language Academy,Public,215 South Street,Hartford,06114,Hartford,95.0,98.3,98.3,100.0,98.3,96.7,95.0,0.0,0.0,0.0
E.B. Kennelly,Public,180 White Street,Hartford,06114,Hartford,96.6,94.8,100.0,96.6,98.3,96.6,93.1,0.0,0.0,0.0
Environmental Sciences @ Mary Hooker,Public,440 Broadview Terrace,Hartford,06106,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Expeditionary Learning Academy at Moylan,Public,101 Catherine Street,Hartford,06106,Hartford,98.7,98.7,98.7,98.7,97.4,96.2,94.9,0.0,0.0,0.0
Global Communications Academy,Public,85 Edwards St,Hartford,06120,Hartford,91.3,91.3,93.5,95.7,91.3,93.5,91.3,0.0,0.0,0.0
Grace S. Webb School,Non-public,200 Retreat Ave,Hartford,06114,Hartford,,,,,,,,,,
Jumoke Academy Charter School,Non-public,250 Blue Hills Avenue,Hartford,06112,Hartford,72.3,84.3,75.9,77.1,77.1,73.5,72.3,0.0,0.0,0.0
Kinsella Magnet School of the Performing Arts,Non-public,65 Van Block Ave.,Hartford,06106,Hartford,100.0,100.0,100.0,100.0,100.0,97.6,97.6,0.0,0.0,0.0
Montessori Magnet At Annie Fisher,Public,280 Plainfield Street,Hartford,06112,Hartford,100.0,97.8,100.0,100.0,97.8,97.8,97.8,0.0,0.0,0.0
Montessori Magnet at Batchelder,Public,757 New Britain Ave,Hartford,06106,Hartford,100.0,100.0,100.0,100.0,97.4,94.9,94.9,0.0,0.0,0.0
Noah Webster,Public,5 cone st.,Hartford,06105,Hartford,98.6,95.8,97.2,100.0,100.0,100.0,95.8,0.0,0.0,0.0
Parkville Community School,Public,47 New Park Avenue,Hartford,06106,Hartford,95.1,95.1,96.7,96.7,95.1,93.4,90.2,0.0,0.0,0.0
SAND,Public,1750 Main Street,Hartford,06107,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Sarah J. Rawson Elementary School,Public,260 HOLCOMB STREET,Hartford,06112,Hartford,86.8,86.8,86.8,97.4,86.8,92.1,81.6,0.0,0.0,0.0
STEM Magnet @Annie Fisher,Public,280 Plainfield Street,Hartford,06112,Hartford,97.4,97.4,97.4,97.4,92.3,94.9,89.7,0.0,0.0,0.0
West Middle Community School,Public,44 Niles Street,Hartford,06105,Hartford,94.7,91.2,98.2,98.2,94.7,87.7,84.2,0.0,0.0,0.0
Wish Elementary School,Public,104 Vine Street,Hartford,06112,Hartford,98.0,98.0,100.0,100.0,100.0,98.0,98.0,0.0,0.0,0.0
CREC Montessori Magnet,Public,1460 Broad Street,Hartford,06106,Hartford,93.2,90.9,93.2,95.5,95.5,97.7,90.9,0.0,0.0,0.0
Harwinton Consolidated School,Public,115 LItchfield Street,Harwinton,06791,Litchfield,86.2,86.2,92.3,95.4,89.2,93.8,78.5,0.0,0.0,0.0
Gilead Hill School,Public,580 Gilead Street,Hebron,06248,Tolland,97.4,97.4,98.7,98.7,98.7,97.4,96.2,0.0,0.0,0.0
Burr Elementary School,Public,792 Killingworth Road,Higganum,06441,Middlesex,100.0,100.0,100.0,100.0,100.0,97.1,97.1,0.0,0.0,0.0
Griswold Elementary School,Public,303 Slater Ave,Jewett City,06351,New London,99.1,99.1,99.1,99.1,99.1,99.1,99.1,0.0,0.9,0.9
Mary E. Griswold Elementary School,Public,133 Heather Lane,Kensington,06037,Hartford,100.0,100.0,100.0,100.0,100.0,98.7,98.7,0.0,0.0,0.0
Kent Center School,Public,9 Judd Ave,Kent,06757,Litchfield,,,,,,,,,,
Killingworth Elementary School,Public,340 CT-81,Killingworth,06419,Middlesex,96.1,96.1,96.1,98.0,98.0,96.1,94.1,2.0,0.0,2.0
Salisbury Central School,Public,45 Lincoln City Rd,Lakeville,06039,Litchfield,97.6,100.0,97.6,92.9,95.2,90.5,83.3,0.0,0.0,0.0
Lebanon Elementary School,Public,479 Exeter Rd.,Lebanon,06249,New London,92.4,92.4,92.4,96.2,92.4,96.2,92.4,2.5,1.3,3.8
Gallup Hill School,Public,169 Gallup Hill School,Ledyard,06339,New London,92.8,85.6,83.5,91.8,84.5,88.7,80.4,0.0,0.0,0.0
Lisbon Central School,Public,15 Newent Rd.,Lisbon,06351,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Center School,Public,125 West Street,Litchfield,06759,Litchfield,96.6,96.6,98.3,94.8,98.3,98.3,94.8,0.0,0.0,0.0
